Stock Name,Symbol,Lot Size,Sector Name,Industry Name,MCap Category,Close,Chg %,Cumulative Future OI,OI Chg %,Volume (Times),Delivery (Times),Cumulative Call OI,Cumulative Put OI,Put Call Ratio (PCR),PCR Change 1D,OI Trend,Symbol with Comma for External Upload,%DlyQttoTradedQty,Date,Rollover
Bank Of Baroda,BANKBARODA,2925.0,Banking,Bank - Public,Large Cap,267.85,1.08,164420100.0,2.77,1.29,0.83,30487275.0,21817575.0,0.72,0.01,NewLong,"BANKBARODA,",30.72,2024-07-03,0.0151
Deepak Nitrite Ltd.,DEEPAKNTR,300.0,Chemicals,Chemicals,Mid Cap,2660.25,-0.98,2634600.0,2.77,0.67,0.61,2639700.0,1150800.0,0.44,0.01,NewShort,"DEEPAKNTR,",25.1,2024-07-03,0.0444
Hindustan Aeronautics Ltd.,HAL,300.0,Other,Defence,Large Cap,5459.3,2.16,13239600.0,-2.72,1.32,1.54,6719700.0,4350600.0,0.65,0.02,AggressiveShortCover,"HAL,",45.79,2024-07-03,0.042300000000000004
Can Fin Homes Ltd.,CANFINHOME,975.0,Finance,Finance - Housing,Small Cap,902.85,1.47,5868525.0,2.68,1.0,1.08,3376425.0,2395575.0,0.71,0.04,AggressiveNewLong,"CANFINHOME,",41.35,2024-07-03,0.0196
Atul Ltd.,ATUL,100.0,Chemicals,Chemicals,Small Cap,6597.8,0.48,601700.0,2.59,0.43,0.37,112200.0,42000.0,0.37,0.03,NewLong,"ATUL,",45.16,2024-07-03,0.0409
Power Finance Corporation Ltd.,PFC,1300.0,Finance,Finance Term Lending,Large Cap,531.05,5.65,58520800.0,-2.59,2.15,1.33,27102400.0,20529600.0,0.76,0.07,AggressiveShortCover,"PFC,",29.42,2024-07-03,0.0582
Bajaj Finance Ltd.,BAJFINANCE,125.0,Finance,Finance - NBFC,Large Cap,7258.8,1.3,8995375.0,2.56,0.85,1.11,3681625.0,2205125.0,0.6,0.03,NewLong,"BAJFINANCE,",54.91,2024-07-03,0.0179
Havells India Ltd.,HAVELLS,500.0,Capital Goods,Electric Equipment,Large Cap,1878.9,3.54,7808500.0,2.49,1.25,1.04,2211000.0,1444500.0,0.65,0.12,AggressiveNewLong,"HAVELLS,",49.41,2024-07-03,0.0225
State Bank Of India,SBIN,750.0,Banking,Bank - Public,Large Cap,839.95,1.67,96442500.0,2.44,1.28,0.89,50043000.0,25398750.0,0.51,0.02,NewLong,"SBIN,",30.53,2024-07-03,0.030600000000000002
Bajaj Auto Ltd.,BAJAJ-AUTO,75.0,Automobile & Ancillaries,Automobile Two & Three Wheelers,Large Cap,9422.4,0.22,2245575.0,2.43,0.84,0.87,969525.0,557475.0,0.57,0.0,NewLong,"BAJAJ-AUTO,",57.48,2024-07-03,0.0
