Stock Name,Symbol,Lot Size,Sector Name,Industry Name,MCap Category,Close,Chg %,Cumulative Future OI,OI Chg %,Volume (Times),Delivery (Times),Cumulative Call OI,Cumulative Put OI,Put Call Ratio (PCR),PCR Change 1D,OI Trend,Symbol with Comma for External Upload,%DlyQttoTradedQty,Date,Rollover
Kotak Mahindra Bank Ltd.,KOTAKBANK,400.0,Banking,Bank - Private,Large Cap,1734.7,0.97,42452000.0,1.77,0.55,0.54,9198800.0,6180000.0,0.67,0.05,NewLong,"KOTAKBANK,",55.79,2024-06-06,0.0206
Lupin Ltd.,LUPIN,425.0,Healthcare,Pharmaceuticals & Drugs,Mid Cap,1607.25,-1.43,6426000.0,1.77,0.36,0.33,2958425.0,1861500.0,0.63,-0.09,NewShort,"LUPIN,",54.32,2024-06-06,0.0333
Mahanagar Gas Ltd.,MGL,400.0,Gas Transmission,Gas Transmission/Marketing,Small Cap,1360.2,3.46,2002000.0,1.75,0.44,0.34,1105200.0,650000.0,0.59,0.01,NewLong,"MGL,",33.28,2024-06-06,0.0258
Indus Towers Ltd.,INDUSTOWER,3400.0,Telecom,Telecommunication - Service  Provider,Mid Cap,339.35,2.0,66211600.0,1.73,0.21,0.15,19468400.0,11951000.0,0.61,0.0,NewLong,"INDUSTOWER,",42.14,2024-06-06,0.021
Indian Railway Catering And Tourism Corporation Ltd.,IRCTC,875.0,Hospitality,Travel Services,Mid Cap,973.3,5.92,16485000.0,-1.73,0.88,0.52,14704375.0,7546000.0,0.51,0.0,ShortCover,"IRCTC,",20.49,2024-06-06,0.057999999999999996
SRF Ltd.,SRF,375.0,Chemicals,Chemicals,Large Cap,2296.55,0.07,4104000.0,1.69,0.48,0.36,1806750.0,1156125.0,0.64,-0.02,NewLong,"SRF,",44.1,2024-06-06,0.0323
Ultratech Cement Ltd.,ULTRACEMCO,100.0,Construction Materials,Cement & Construction Materials,Large Cap,10054.95,0.17,1888300.0,1.69,0.76,0.62,890800.0,410800.0,0.46,-0.06,NewLong,"ULTRACEMCO,",46.93,2024-06-06,0.032
Deepak Nitrite Ltd.,DEEPAKNTR,300.0,Chemicals,Chemicals,Mid Cap,2278.45,2.26,2097900.0,-1.67,0.48,0.54,1000800.0,668100.0,0.67,-0.06,ShortCover,"DEEPAKNTR,",51.41,2024-06-06,0.052199999999999996
Gujarat Gas Ltd.,GUJGASLTD,1250.0,Gas Transmission,Gas Transmission/Marketing,Mid Cap,571.1,3.8,7502500.0,1.59,1.04,0.99,5156250.0,2715000.0,0.53,-0.03,NewLong,"GUJGASLTD,",27.51,2024-06-06,0.0506
Wipro Ltd.,WIPRO,1500.0,Information Technology,IT - Software,Large Cap,461.0,2.1,58665000.0,-1.59,0.95,0.77,22036500.0,14521500.0,0.66,0.06,ShortCover,"WIPRO,",39.63,2024-06-06,0.061900000000000004
Bharat Electronics Ltd.,BEL,2850.0,Capital Goods,Engineering - Industrial Equipments,Large Cap,273.65,5.11,137438400.0,1.58,0.77,0.58,87819900.0,48754950.0,0.56,0.01,NewLong,"BEL,",32.28,2024-06-06,0.1059
Trent Ltd.,TRENT,200.0,Retailing,Retailing,Large Cap,4878.45,-0.52,3003200.0,-1.55,0.4,0.35,716800.0,570000.0,0.8,0.04,LongCover,"TRENT,",46.94,2024-06-06,0.0177
Tech Mahindra Ltd.,TECHM,600.0,Information Technology,IT - Software,Large Cap,1317.45,3.99,16414800.0,1.52,1.18,0.86,4329600.0,3167400.0,0.73,0.01,NewLong,"TECHM,",41.99,2024-06-06,0.016200000000000003
L&T Technology Services Ltd.,LTTS,100.0,Information Technology,IT - Software,Mid Cap,4682.5,1.27,1506200.0,1.41,0.7,0.79,711700.0,420800.0,0.59,0.01,NewLong,"LTTS,",50.69,2024-06-06,0.0696
Berger Paints India Ltd.,BERGEPAINT,1320.0,Chemicals,Paints,Large Cap,477.15,0.44,26850120.0,-1.37,0.22,0.17,6405960.0,3616800.0,0.56,0.03,ShortCover,"BERGEPAINT,",56.01,2024-06-06,0.0538
HCL Technologies Ltd.,HCLTECH,350.0,Information Technology,IT - Software,Large Cap,1397.5,4.0,21896000.0,1.37,1.05,0.89,5870550.0,3615500.0,0.62,0.05,NewLong,"HCLTECH,",55.08,2024-06-06,0.037200000000000004
DLF Ltd.,DLF,825.0,Realty,Construction - Real Estate,Large Cap,829.15,4.16,42320025.0,-1.35,0.59,0.45,15386250.0,9202875.0,0.6,0.07,ShortCover,"DLF,",41.92,2024-06-06,0.021
Indian Oil Corporation Ltd.,IOC,4875.0,Crude Oil,Refineries,Large Cap,163.6,2.73,154678875.0,1.35,0.75,0.57,74997000.0,40257750.0,0.54,0.05,NewLong,"IOC,",34.4,2024-06-06,0.0434
Mahindra & Mahindra Financial Services Ltd.,M&MFIN,2000.0,Finance,Finance - NBFC,Mid Cap,278.15,1.4,29490000.0,1.34,1.14,1.28,8714000.0,6336000.0,0.73,-0.02,AggressiveNewLong,"M&MFIN,",49.33,2024-06-06,0.0482
The Indian Hotels Company Ltd.,INDHOTEL,1000.0,Hospitality,"Hotel, Resort & Restaurants",Mid Cap,583.5,1.85,17764000.0,-1.28,0.55,0.5,5261000.0,3477000.0,0.66,0.05,ShortCover,"INDHOTEL,",53.39,2024-06-06,0.021400000000000002
Ambuja Cements Ltd.,AMBUJACEM,900.0,Construction Materials,Cement & Construction Materials,Large Cap,610.05,1.86,31463100.0,-1.25,0.43,0.39,13390200.0,9685800.0,0.72,-0.04,ShortCover,"AMBUJACEM,",41.91,2024-06-06,0.0166
Balkrishna Industries Ltd.,BALKRISIND,300.0,Automobile & Ancillaries,Tyres & Allied,Mid Cap,3108.5,-0.46,1805100.0,1.25,0.47,0.28,981000.0,620400.0,0.63,0.01,NewShort,"BALKRISIND,",34.5,2024-06-06,0.013600000000000001
Balrampur Chini Mills Ltd.,BALRAMCHIN,1600.0,Agriculture,Sugar,Small Cap,386.35,-1.15,10761600.0,1.23,0.53,0.47,3144000.0,2537600.0,0.81,-0.02,NewShort,"BALRAMCHIN,",37.31,2024-06-06,0.0274
Steel Authority Of India Ltd.,SAIL,4000.0,Iron & Steel,Steel & Iron Products,Mid Cap,146.9,0.93,172984000.0,1.21,1.13,0.78,59180000.0,33176000.0,0.56,0.03,NewLong,"SAIL,",22.04,2024-06-06,0.0473
ICICI Prudential Life Insurance Company Ltd.,ICICIPRULI,1500.0,Finance,Insurance,Large Cap,563.6,0.18,12594000.0,1.19,0.37,0.45,2274000.0,1695000.0,0.75,0.05,NewLong,"ICICIPRULI,",60.72,2024-06-06,0.0202
Coforge Ltd.,COFORGE,150.0,Information Technology,IT - Software,Mid Cap,5212.65,1.63,1924950.0,1.18,0.59,0.46,1003650.0,541800.0,0.54,-0.04,NewLong,"COFORGE,",37.79,2024-06-06,0.045899999999999996
HDFC Life Insurance Company Ltd.,HDFCLIFE,1100.0,Finance,Insurance,Large Cap,555.25,0.6,45521300.0,1.18,0.52,0.35,16482400.0,7268800.0,0.44,0.0,NewLong,"HDFCLIFE,",39.37,2024-06-06,0.0331
Aurobindo Pharma Ltd.,AUROPHARMA,550.0,Healthcare,Pharmaceuticals & Drugs,Mid Cap,1251.3,-1.19,12402500.0,1.15,0.67,0.68,2657600.0,1425600.0,0.54,-0.06,NewShort,"AUROPHARMA,",46.34,2024-06-06,0.0131
IndusInd Bank Ltd.,INDUSINDBK,500.0,Banking,Bank - Private,Large Cap,1481.1,-1.32,22509500.0,1.12,0.48,0.47,6924500.0,5499500.0,0.79,-0.19,NewShort,"INDUSINDBK,",48.22,2024-06-06,0.0462
